id_tiempo,anho,mes,dia,fecha
1,2020,1,1,01/01/2020
2,2020,1,2,02/01/2020
3,2020,1,3,03/01/2020
4,2020,1,4,04/01/2020
5,2020,1,5,05/01/2020
6,2020,1,6,06/01/2020
7,2020,1,7,07/01/2020
8,2020,1,8,08/01/2020
9,2020,1,9,09/01/2020
10,2020,1,10,10/01/2020
11,2020,1,11,11/01/2020
12,2020,1,12,12/01/2020
13,2020,1,13,13/01/2020
14,2020,1,14,14/01/2020
15,2020,1,15,15/01/2020
16,2020,1,16,16/01/2020
17,2020,1,17,17/01/2020
18,2020,1,18,18/01/2020
19,2020,1,19,19/01/2020
20,2020,1,20,20/01/2020
21,2020,1,21,21/01/2020
22,2020,1,22,22/01/2020
23,2020,1,23,23/01/2020
24,2020,1,24,24/01/2020
25,2020,1,25,25/01/2020
26,2020,1,26,26/01/2020
27,2020,1,27,27/01/2020
28,2020,1,28,28/01/2020
29,2020,1,29,29/01/2020
30,2020,1,30,30/01/2020
